full_text;Labeling
ada tu angkatan bawah kmrn yg banyak laporan punya hp bagus laptop bagus nongkrong di sb kata ditmawa si dicabut tp kayanya sampe sekarang belum deh di itb juga jeleknya adalah kita kekurangan pendaftar kipk jadi pada ditarik yg pada beasiswa ukt;Cons
jbrfess rek ada yg tau ga ya kapan pembukaan beasiswa pemkab thn  kasian tetanggaku mau berenti kuliah krn ga lolos kipk padahal yatim dan gak mampu rek;Cons
di feb ada penjaringan maba yang tertolak kipk dan ga ada kelanjutannya kan terus aku kemarin hari jumat baru banget ngurus pengajuan kipk kembali di rektorat dan yh jawabannya gabisa tp boleh dm aku nder kalau mau lebih jelasnya jawaban dari bagian beasiswa;Cons
kalo org kaya bayar ukt gaada masalah sama sekali bayar tinggal bayar org miskin masih bisa ngajuin kipk atau beasiswa lain utk org ga mampu lah yg medioker mau ngajuin beasiswa susahnya minta ampun karna bakal kalah sm yg lain ngajuin bidik misi jg gabisa;Cons
lanjut ekonomi keluarga mampu ga nih tapi ini yg ga ambil beasiswa ato kipk yah intinya kemampuanmu dari aspek apa aja dah   motivasi ini juga penting motivasi ga ada berenti tengah jalan pasti jadi lagi capenya kuliah tuh minimal inget apa tujuan kesini;Neutral
jadi inget dulu pas wawancara bidikmisi kipk ditanyain sama bapaknya  kalau misal kamu ga lolos beasiswa ini gimana;Neutral
di satu sisi lain pihak univ buat aku kipk skema  yang cuma bayar ukt aja  padahal aku butuh biaya untuk hidup dan aku juga bersedia untuk berusaha cari beasiswa tapi terhalang karena peraturan univnya   tolong arahannya kak  terimakasih;Cons
bukan aku sok pintar atau gimana ya  tapi emg kenyataan nya  plis jangan hujat dulu ya   sebenarnya aku berani kuliah itu karna ada kipk ternyata aku cuma dapat skema  dan info dari univ nya langsung kalo misal nya udh menang kipk ngga bisa ambil beasiswa lain;Pros
braw guys ada yang punya info beasiswa buat maba ngga aku udah capek kerja sambil kuliah kemaren ku kira bakal lolos kipk ternyata ngga padahal butuh banget;Neutral
lagi krn ulah ortu ga bertanggung jawab semangat ya kakk aku di posisi yg sama ky kamu yg ortu cerai amp  hrs membiayai adek kuliah tp aku push adekku bwt ikut kipk atau beasiswa apapun bwt memudahkan syukur adeknya mau kerja jg kak semoga segera dpt jalan keluar yaa;Neutral
apply beasiswa nder aku ga lolos kipk dan udah apply beberapa beasiswa juga semangat beasiswa ga cuma kipk doang;Pros
nder itu km lagi dikasih ujian buat pendidikan km masuk undip dapet kipk itu udah alhamdulillah bgt aku yg masuk kampus biasa dan ga dpt beasiswa apa aja bertahan ini nder meskipun kerja sana sini harus brani ngorbanin dan pinter pinter ngeluangin waktu buat bertahan hidup;Pros
sk rektor tentang penerimaan beasiswa kipk thn  um kira kira kapan yaa keluarnya aku liat buat yang thn  kemarin  maret itu udh cair deh buat mabanya;Neutral
halo sobat bidikmisi kipk kuliah   berikut surat keputusan mengenai penerimaan beasiswa kip kuliah universitas diponegoro untuk mahasiswa baru angkatan;Neutral
bukannya gak bersyukur dapet beasiswa kipk skema  tpi tetep kasihan sama bapak dan kakak harus biayain kebutuhan aku di semarang  padahal dia masih ada tanggungan banyak banget  ya allah nangis bangett;Cons
kenapa beasiswa kipk harus ada skema skemanya ya allah;Pros
ga lolos kipk artinya apa ya betul nyari beasiswa dan harus berprestasi juga;Cons
cari beasiswa aja nder kalo kipk itu pengajuannya pas daftar utbk tapi biasanya ada yg open karna nambah kuota;Pros
braw untuk kating user kipk pencairan beasiswa kipk di ub memang lama kah kak dulu pas masa kakak lama juga kah;Neutral
besok uts belum belajar samsek kemarinkemarin mikirin plan kedepannya after gak lolos kipk hari ini ngurus berkasberkas pendaftaran beasiswa bersyukur juga lolos seleksi awal tanoto   tapi gw tetep males belajar udah hilang motivasi gw after nangis terus  hari ini;Neutral
lah masih beruntung dapet beasiswa loh ka orang lain bahkan ga seberuntung kamu dapet kipk kuliah tanpa mikirin biaya harusnya bersyukur ka jadi mahasiswa itu privilege;Pros
penyerahan sk beasiswa kipk kepada mahasiswa amp  mahasiswi  berupa pembiayaan kuliah dari awal hingga akhir  dimanfaatin dengan bijak ya kawan mahasiswa  yoh iso yoh;Pros
maksudku karena banyak org di luar sana untuk dptin beasiswa kipk malah ngasih bukti palsu sampe bisa beli iphone dll yang mana itu salah sasaran sedangkan orang tua mu sangatlah hebat bisa mencukupi hidup keluarganya semangat belajar dan jadi orang sukses ya nder smgt;Cons
yang permohonan beasiswa kipk sama ktp itu;Neutral
schapp biasanya beasiswa buat maba itu dibuka bulan apa selain kipk  trivia  rumus mencari suku tengah baris aritmatika ut  aun;Neutral
selepas pengunguman gimana keadaan ku sama seperti temanteman yang lainnya sedihkesalngerasa bodoh ga langsung nyerah  hari setelah itu aku langsung daftar berbagai beasiswa jalur masuk ptn mostly bisa pake kipk;Pros
dips disini ada gak penerima beasiswa kipk tapi lulusnya lebih dari  tahun itu nanti uktnya dapet golongan berapa ya kalo nambah semester sender takut kalo ga lulus tepat waktu trus nanti bayar uktnya mahal;Neutral
bang pembaca tolong dibaca captionnya itu yg dipersoalkan krn di dalemnya ada asrama mobilitas keluar masuk asrama beda dg sekedar keluar masuk kampus parkir di kosan sendiri tp bayar apartemen kali terlebih lg yg tinggal di asrama itu mayoritas penerima beasiswa kipk;Neutral
semua lini dimonetisasi pokoknya wkwkk trus plot twist ntar ada beasiswa parkir buat anak bmkipk yg tinggal di asrama nangor eh tp kemungkinan nya kecil sih ini wkwkk;Neutral
ini angkatan  kah skema baru ya kurang paham juga nder kipk kan dari apbn mungkin bisa cari beasiswa lain yang bukan dari apbn;Cons
haloo buat warga uny yang sedangpernah jadi penerima beasiswa kipk sender mau tanya nih  untuk penetapan penerima kipk secara final itu biasanya di bulan apa ya apakah emang membutuhkan waktu yang cukup lama  sender ditanyain terus sama ortu sender jdi cont;Neutral
oh gitu baiklah kalau begitu bebas aja si duit beasiswa prestasi mau diapain mah makasih udah meluruskan semangat belajarnya mudahan makin banyak org yg dapet kipk sesuai peruntukannya;Cons
tapi ya terserah deh mungkin u butuh banget hp dengan spefisikasi seperti itu untuk keperluan tugas dll pokoknya kalo udah punya title pemegang kipk dan dapat beasiswa dari situ atau beasiswa prestasi agaknya lebih hatihati dan lebih mikirin pengeluaran buat ke arah;Pros
yang namanya beasiswa entah untuk pengguna kipkprestasi layaknya digunakan untuk hal penting aja atau kebutuhan primersekunder imo iphone kan termasuk kebutuhan tersier ya apalagi dengan versi yang lebih terupgrade gitu;Pros
kak kata siapa coba deh tanya anak kipk anak kipk enggak boleh double beasiswa mereka mencantumkan surat perjanjian tidak menerima beasiswa lain lalu yang mendapatkan kipk tahun ini memang di cutting kuotanya kak saya tau karena saya beasiswa hunter kak;Pros
temennya gk nanya mbak temennya bilang anak kipk kok hpnya bobba coba baca lagi kipk boleh kok dapet beasiswa lain asalkan bukan beasiswa pemerintah lagi mahasiswa kipk boleh menerima beasiswa prestasi dari swasta mbak  jadi ada kemungkinan sendernya dapet  beasiswa;Pros
beasiswa prestasi dari mana nih penerimaan kipk ngga bisa sembarang daftar beasiswa lain btw;Pros
misalkan data si a sudah masuk sebagai penerima kipk terus one day dia dapat beasiswa lain ya perjanjian kipk gak boleh terima beasiswa lain jadi otomatis bakal dicabut karena si a terdata dibeasiswa lain semuanya terdata kak;Pros
lah disitu dia jelasin mbak jelasin bahwa temannya ngomong belinya pake kipk ya terus dia nyambungin ke beasiswa prestasi berarti dia gak pakai kipk lagipula kalau orang dapat kipk terus ambil beasiswa lain otomatis kecabut kak kakak sendiri liat sop kipk enggak;Cons
beasiswa prestasi emgnya kipk bukannya beda;Neutral
emang bisa dapet kipk trs dapet beasiswa lagi;Neutral
harusnya yang bener beasiswa prestasi nya buat bayar ukt nder jadi gaperlu daftar kipk karna kalo diliat dari cerita sendernya yg jadiin beasiswa prestasinya buat beli ip berarti bisa disimpulin sendernya ga sesusah itu buat nerima kipk cmiiw;Pros
kayaknya bukan deh tapi temennya ngiranya dapetnya kipk padahal beasiswa prestasi gitu;Neutral
pd bgt bilang belinya pke duit beasiswa org org aja mati matian biar dpetin kipk biar bnr bnr bs skolah tp enih agak gmn gitu sih gatau juga kalau dia sisihin tp kannnnn;Cons
menurutku temannya cuma tau beasiswa kipk doang soalnya di lingkungan dia mostly pakai itu makanya si sendernya agak kesel sama kesoktauan temannya soalnya ada yang pernah pengalamannya kayak gini temanku;Neutral
kok orangorang gak nyambung sih sendernya bilang dia dapat beasiswa berprestasi bukan kipk yang singgung kipk tuh temannya karena sok tau beasiswa prestasi itu ada banyak contoh kayak putri ikut ajang nyanyi di luar negeri kemarin dia dapat beasiswa kuliah berprestasi;Neutral
i get it they got beasiswa prestasi tapi poin pertanyaan gue tuh kok bisa dapet kipk kipk kan ukt gratis terus dapet uang saku berarti orang gak mampu kan;Cons
bukanya gaboleh ya dapet beasiswa lain kalo udah dapet kipk serius nanya;Pros
ya intinya seharusnya orang yang dapat beasiswa kipk itu orang kurang mampu karena persyaratannya kipk tuh cenderung menunjukkan kemiskinan kok idc sender dapat double beasiswa tp kalo dia dapet kipk harusnya dia miskin orang miskin kok kepikiran beli iphone;Pros
gua cuma ngebela sender nya g salah dia make uang itu terserah dia itu uang dia selain itu yg dipake bukan beasiswa kipk tapi prestasi mungkin bagi sender nya hp yg dia beli sekarang sebagai bukti usaha dia di prestasi itu alias apresiasi ke dirinya sendiri bukan di hedon nya;Pros
karenaaa aku galau bgttt gak lolos kipk jadiinya aku cari cari beasiswa lain gak boleh cuma ngandelin kipk karena aku sakit hati ditolakkkkkk;Neutral
bentar mencerna dulu ini lu dapet beasiswa prestasi tp temen虏 lu ngira nya duit itu kipk bukan beasiswa prestasi jd yg lu buat beli iphone itu duit beasiswa prestasi gt gk;Neutral
emang bisa ya beasiswa dpt dobel begitu udh kipk trs dpt beasiswa prestasi;Neutral
yg punya kipk bisa daftar beasiswa lain baru tau karna setauku gabisa;Pros
jadi sebenarnya lo penerima kipk atau beasiswa prestasi sih;Neutral
jadi kamu anak kipk apa bukan  kalo beasiswa pemerintah kipk gitu bukannya ga boleh double beasiswa dulu bidikmisi juga gitu kalo dah bidikmisi gaboleh ambil beasiswa yg lain apapun itu ada di surat perjanjian pas awal;Pros
emang bisa double beasiswa bukannya kalo dah kipk ya berarti kipk aja oke ini aneh tapi yaudah dehhhh si paling pinter;Cons
jd dapet kipk sama beasiswa prestasi kan ga boleh menerima beasiswa lain meskipun di beasiswa lain memperbolehkan tp kan dari kipk engga sama aja boong;Neutral
kalo dpt kipk setauku gaboleh dibarengin sm beasiswa lain;Pros
ga masalah sih kayanya pk beasiswa berprestasi tp kenapa lu punya kipk ancrittt itu kan bikinnya pk sktm lo kurang mampu;Cons
can u searching more about the newest information about the kipk and beasiswa not cuma bacot merasa paling tersakiti ngeliat yg lain bisa lu kgk;Neutral
penerima kipk bukannya ga bisa terima beasiswa lain yang kayak begini kenapa dapet kipk sih malu sama sktm;Cons
kak sender nya dah ngomong dia pake beasiswa prestasi bukan kipk kipk buat kurang mampu beasiswa prestasi dia dari prestasi yg udh dia dapat diluar dari kipk nya;Pros
tiati lu kena ain sombong tp kok yg disombongin hasil nyuri hak org lain kipk tuh beneran buat yg ga mampu cuy kalo double beasiswa dan bisa buat beli kebutuhan tersier berpuluh juta mending slot kipk nya dikasih ke yg lain ga sih;Cons
gk tahu skala prioritas kah anda gw sih mikir gini klo lu anak kipk brrti lu kekurangan dlm finansial trs lu bilang duitnya dri beasiswa prestasi kenapa duitnya gk dibayarin buat ukt aja biar org lain yg membutuhkan bisa dpt kuota kipk yg lu ambil;Cons
mungkin beda aturan tp saranku ya nder meski kmu dpt uang lebih dr beasiswa lain selain kipk saranku kamu ttp bisa bijak menggunakan uang trsebut untuk hp boleh saja ganti ke yg lebih layak dan cukup sisa uangnya ditabung utk kebutuhan kedepannya;Pros
sanksi sosial sih nder masalahnya   inget kalau pinter itu dari allah gausa sombong   kipk bukannya ngasih peraturan kalau lu gaboleh nerima beasiswa lain   uangnya jangan disalahgunain bro masih banyak temen yg beneran ga mampu blm dapet beasiswa introspeksi ya nder;Cons
bntr emng boleh ya double beasiswa klo anak kipk kok dlu tmnku ga bs ya meski beasiswa dari swasta  krna kan biasa ikut beasiswa tuh hrus ada yg musti di ttd kaprodi klo ditau mau apply beasiswa lain tp udh di kipk dia ga akan mau ttd jd diem pun ga bisa;Neutral
btw penerima kipk boleh nerima beasiswa lain selain kipk yg dari negara;Pros
lu kalo udah bisa pake duit beasiswa buat foya harusnya sih gaperlu ambil kipk lagi ya;Pros
halo ada yg terima kipk tapi ambil beasiswa lain juga;Neutral
walach kalo sepinter itu ya cari beasiswa prestasi aja toh jangan nyari kipk  beasiswa prestasi aja bisa kebeli ip  bayar ukt pasti bisa lah ya lagian mana janji mu buat ga nerima beasiswa lain selain kipk nder ckckck;Cons
lu sendernya yg nitip mf ya poinnya bukan di uang beasiswa prestasinya ege tapi di kipk kipk tuh ga boleh dobel dan buat orang yg bener ga mampu kalau udah dpt beasiswa prestasi ngapain daftar kipk uangnya dipake buat kebutuhan tersier lagi penipu itu namanya;Cons
ya klo bisa dapet beasiswa prestasi ngapain ikut kipk;Cons
kok bisa anak kipk dapet bea prestasi  setau gue dulu dapet bea prestasi ada surat perjanjian tidak sedang menerima beasiswa manapun  dana bantuan apapun;Pros
padahal orang yg lebih susah banyak yg gak dapet kipk bahkan untuk menuhin kebutuhan sehari虏 aja engap虏an dan dia bisa nabung untuk iphone berarti mampu kan untuk iphone ada untuk ukt gak ada dikira savage kali bilang diri sendiri pinter pake beasiswa lain engga cringe;Cons
itu dia bilang pake beasiswa prestasi tapi aku gk tau sih kalo udah kipk apakah bisa terima beasiswa lain kalo misal bisa ya lets assume yg kipk buat keperluan kuliah yg beasiswapendapatan lain dia pake buat hal lain contohnya beli gadget itu;Neutral
brarti km masih mampu nder klo udh kipk ngpain apply beasiswa prestasi kan kmu udh ckup dri kipk;Cons
dia mampu dengan beasiswa nya mungkin aja buat yg kebutuhan yg lain ada tambahan bantuan lain atau pake yg dari kipk itu sendiri;Neutral
lagian lo udah dapet kipk kok masih nerima beasiswa lain kan aturannya gaboleh ini kalau ketahuan bisa dicabut tuh kipk;Cons
btw beasiswa boleh double ada beberapa company gede yg memperbolehkan punya beasiswa lain pengguna kipk juga bisa dapat beasiswa lain dulu ada anak kelas ku waktu sma dia atlet karate tapi juga orang kurang mampu jadi nya dia dapat kipk ma juga beasiswa prestasi lomba;Pros
ya wajar sih kalau salty uang beasiswa dibelain buat beli hp boba tuh biar apa emang lagian bukannya kipk ga boleh digabung sama beasiswa lain ya kalau udah punya beasiswa lain yg dari prestasi ngapain daftar kipk hehe;Cons
itu sendernya pake beasiswa prestasi juga bisa aja yg kipk buat kuliah trus incomebeasiswa lain buat hal lain menurutku mahasiswa kipk gk harus stay miskin ketika dia dapet bantuan bisa manage dg baik ya bukan tidak mungkin bisa beli barang begituan;Neutral
di akhir di kasih tau lho belinya pake beasiswa prestasi gmn sih bedain kipk ma beasiswa prestasi dong;Neutral
kan ada beasiswa prestasi nya sender nya punya value lain yg menjadikan si sender bisa dapat beasiswa lain selain kipk toh g semua pemerima kipk pake jalur dalam uang dari beasiswa prestasi nya y serah sender mau pake buat apa ya artinya beasiswa yg ini bukti sender pintar;Neutral
tapi sendernya juga kipk ga sih tapi juga dapet beasiswa prestasi;Cons
tp dia jg dpt kipk brrti dia double beasiswa brrti dia miskin;Cons
sorry aku sih tim temennya  meskipun itu duit beasiswa prestasi atau nabung sendiri atau apalah intinya untuk beli kebutuhan kyk ip aja bisa knp ga duit itu dibuat bayar sekolah aja  malah pake kipk;Cons
itu maksudnya si sender tu kipk  beasiswa prestasi kah;Neutral
ya ga salah sih tp kesel juga beberapa kenalan amp  murid w yg bener emg ga mampu amp  beasiswa utk kehidupan primer kenapa ga bisa keterima kipk sdgkan u yg duit beasiswa bkn utk kehidupan primer kok bisa dpt  keselnya disana sih;Cons
temenku ada yang dapet kipk dan br scholarship nder wkwkkw gatau deh gimana kok bisa lolos dan gak ketahuan dia double beasiswa gitu;Cons
cukup disayangkan karna yg bersangkutan ngurus sktm tapi izin ngelurusin beasiswa bi itu prioritas prestasi sama kontribusi sktm cuma poin plus dan bukan jaminan lolos beasiswa jadi perihal penggunaan uangnya kalo beasiswa bi ya sah aja mau dipake apa  karna ini bukan kipk;Cons
makanya aku juga kesel kalo ada anak kipk tapi gayanya hedon banget tapi kalo anak beasiswa lain kek bi aku bodo amat duit beasiswanya mau dipake buat apa soalnya biasanya beasiswa lain sleksinya ga cuma punya sktm apa ngga pasti ada sleksi lain yang cukup ketat;Cons
tapi kak beasiswa bi beda sama kipk pake sktm juga blm tentu lolos;Neutral
gaadil emg nder makanya gw kek kesel aja di kelas gw yang anak beasiswa kipk semuanya hpnya iphone anjir;Cons
setauku kalo kipk emang harusnya gaboleh tapi kalo beasiswa prestasi ya asal berprestasi aja sih beneran;Pros
beasiswa apa dulu ini kan ada beasiswa prestasi dan kawankawan kecuali kalau bidikmisikipk kerjaannya hedon mulu hp ipon keluaran terbaru nongki di kafe mehong sana sini;Cons
maksudmu kipk kali nder beasiswa mah general ga pandang status;Neutral
ini kata selalu muncul klo orkay daftar iisma atau lpdp but for mekalau dpt beasiswa ln kek gitu ya gpp jugakecuali lu mampu tp ambil bea tak mampu atau kipk kek lu pantas dihajar;Cons
beasiswa apa dulu brow gw dapet bea dari semester    tapi gw dpt beasiswa tahfidz dan semester  ini insya allah gw dapet potongan ukt dari kegiatan kampus merdeka  kecuali klo bea kipk yg harusnya buat orang kurang mampu tapi orang yang mampu malah dapet baru dah lu kesel;Pros
bhkan ngatain gw kipk pdhl gw beasiswa provinsi jalur prestasi dan kalaupun misal gw kipk apa salahnya bjir  knpa di pandang sebelah mata anak yg dapat beasiswa kek dia sekolah tinggi aja pdhl dia kerjanya jdi host live os gitu  asli dari situ sempet trauma dikit;Cons
kalo kipk mah iye wajar dijulidin kalo yg lain yg ga nyertain sktm atau beasiswa prestasi mah ya lu ngapain julid anjir berjuang sendiri buat dapetinnya tuh susah loh lu iri ya lu ikutin bersaing gausa banyak nyambat biar tau sendiri susah apa enggak tuh tembusnya;Cons
tapi kalo beasiswa yang lu maksud kipk trus dia daftar sebenarnya kan diperiksa pemerintah dulu ke lapangan kalo kecolongan yaa we never know kelakuannya kaya apa buat nutupin itu;Cons
tadi pengumuman kipk kuliah dan aku dapat skema  kira kira bisa ngga ya daftar beasiswa lain  soal nya aku takut makin bikin susah keluarga;Neutral
aku kalau dpt kipk atau beasiswa gini mau ku kumpulin buat beli laptop please god help me buat masa depanku;Pros
ngga karena uang kuliah sendiri itu diperlukan untuk kita selama di kampus juga praktikum dan gaji dosen serta staff kampus  daripada digratiskan mendingan diperbaiki sistem beasiswa bagi mahasiswa kurang mampu kipk ntah gimana caranya supaya tepat sasaran;Cons
setauku masih sulit nder secara indonesia wajib masa sekolah cuma sampe  tahun alias kuliah itu sebenernya optional kalo menurutku mending benerin kipk dan perbanyak beasiswa pendidikan indonesia lainnya terus perketat jalur seleksi masuk kampus biar nggak ada orang dalam;Pros
halo    selamat kepada mahasiswa jurusan manajemen angkatan  penerima beasiswa kartu indonesia pintar kuliah kipk puslapdik kemdikbudristek tahun   semoga selalu memberikan kontribusi terbaiknya untuk bangsa dan almamater salam bakti ubb;Neutral
ugm_fess beasiswa abdi gajah mada boleh buat yg keterima kipk ga;Neutral
diliat dari cara dia bisa ketipu gampang kaya gini sih beasiswa yg dimaksud itu kipk tapi aneh aja bisa modalin orang jt masih dapat kipk;Cons
aku tahun kemarin gagal snmptn sbmptn mandiri swasta jalur kipk di tahun ini gagal snbt swasta jalur kipk sama beasiswa alhamdulilah lolos ptn percaya ajaa semua pasti ada rezekinya kok nder jangan samain kayak orang lain rezeki mu pasti ada dan itu yang terbaik pastinya;Pros
dips anak  uang beasiswa kipk udah cair belum ya sender mau bayar uang kost susah;Cons
udaa bidikmisi tuh taun ini namanya beasiswa kipk itu kaaa cmn emg kuota nya makin menipiss juga seleksi nya aneh ada yg orang mampu tp lolos trs yg ga mampu malah ga loloss;Cons
meskipun gitu di awal jg perlu modalll aku aja smpe gajadi kuliah taun ini grgr beasiswa kipk ga lolossss;Cons
oh sama kalo kita keterima ptn berarti otomatis keterima beasiswa perintis juga ya atau sistem nya kya kipk;Cons
tapi kalo misalkan kita ga keterima beasiswa perintis itu masih ada kesempatan buat keterima kipk kan;Cons
boleh syarat beasiswa perintis juga harus daftar kipk juga ko  gapapa aktifin aja dulu akun kipknya;Cons
kak rencananya kan aku mau daftar beasiswa perintis tapi di lain sisi aku juga mau daftar kipk itu boleh ga ya;Cons
yoyok sukawi bagikan beasiswa kipk dari aspirasi masyarakat  lewat;Pros
tergantung kampus kalo kamu lolos sebagai penerima kipk dan mengundurkan diri nanti di tahun selanjutnya ga bisa daftar kipk ada juga kampus yang nyuruh ngembaliin dana beasiswa kipknya;Pros
coba cari info kipk nder kalau memang ga memungkinkan berarti emang kamu harus kerja dlu terus tabung sambil cari info beasiswa uangnya dipake buat kuliah selagi ada kemauan pasti ada jalan;Pros
beasiswa kipk ndu;Pros
temenku keterima bp tahun ini kalo di beasiswa perintis malah nnti diwajibin ikut kipk nder yukkk temenan sesama pejuang bp;Pros
benerr kakk aku aja smpe gajadi kukiah grgr gapunya uang pdhl uda keterima snbt tpi beasiswa kipk nya ga lolos alhasil gajadi kuliah;Cons
coba beasiswa kipk nderr;Pros
lpdp  kipk lpdp itu beasiswa bukan buat orang kurang mampu  orang gblk kayak lu biasakan jgn proyeksikan kedengkianmu amp  keinsecurean lu ke orang lain;Cons
kipk kjmu tuh emang gak boleh ikut beasiswa lainnya;Cons
cm yg pake kipk gabisa daftar beasiswa bsi ya;Cons
tapikan kipk bukan beasiswa prestasi  yapa kenalanmu i nder justru ini yg menyalahgunakan;Cons
kwkw kenalanku punya macbook ip boba ortunya gaji  digit dapet beasiswa kipk tp dia bilang dapet kipk soalnya dia pinter;Cons
